fold,seed,layer,acc,epoch
3,0,0,0.38,80
3,0,1,0.7375,78
3,0,2,0.795,82
3,0,3,0.8375,82
3,0,4,0.885,77
3,0,5,0.9075,93
3,0,6,0.9225,90
3,0,7,0.925,73
3,0,8,0.93,75
3,0,9,0.9325,78
3,0,10,0.93,75
3,0,11,0.93,77
3,1,0,0.4325,83
3,1,1,0.74,86
3,1,2,0.8125,91
3,1,3,0.83,77
3,1,4,0.8525,77
3,1,5,0.895,79
3,1,6,0.9,71
3,1,7,0.9075,84
3,1,8,0.915,79
3,1,9,0.9125,71
3,1,10,0.915,86
3,1,11,0.9225,79
3,2,0,0.385,80
3,2,1,0.7175,61
3,2,2,0.8025,46
3,2,3,0.8375,78
3,2,4,0.8725,55
3,2,5,0.9,76
3,2,6,0.91,85
3,2,7,0.92,76
3,2,8,0.9275,85
3,2,9,0.93,97
3,2,10,0.93,87
3,2,11,0.9375,94
3,3,0,0.405,65
3,3,1,0.7375,79
3,3,2,0.795,62
3,3,3,0.8425,73
3,3,4,0.875,72
3,3,5,0.905,94
3,3,6,0.9125,78
3,3,7,0.92,91
3,3,8,0.9225,78
3,3,9,0.93,83
3,3,10,0.9325,75
3,3,11,0.9375,86
3,4,0,0.4,91
3,4,1,0.715,94
3,4,2,0.79,86
3,4,3,0.8375,88
3,4,4,0.875,70
3,4,5,0.8975,88
3,4,6,0.91,60
3,4,7,0.92,60
3,4,8,0.92,60
3,4,9,0.925,90
3,4,10,0.9225,85
3,4,11,0.925,87
3,5,0,0.4175,77
3,5,1,0.725,58
3,5,2,0.805,61
3,5,3,0.8475,79
3,5,4,0.885,90
3,5,5,0.905,74
3,5,6,0.9125,62
3,5,7,0.9225,76
3,5,8,0.925,79
3,5,9,0.9275,79
3,5,10,0.9225,78
3,5,11,0.9275,86
3,6,0,0.405,78
3,6,1,0.735,76
3,6,2,0.7875,43
3,6,3,0.84,88
3,6,4,0.875,84
3,6,5,0.9075,93
3,6,6,0.9075,78
3,6,7,0.915,92
3,6,8,0.915,79
3,6,9,0.9175,63
3,6,10,0.9175,58
3,6,11,0.9175,55
3,7,0,0.4225,73
3,7,1,0.745,66
3,7,2,0.79,42
3,7,3,0.85,79
3,7,4,0.885,83
3,7,5,0.905,73
3,7,6,0.915,87
3,7,7,0.9175,89
3,7,8,0.9225,85
3,7,9,0.9175,76
3,7,10,0.9225,78
3,7,11,0.925,58
3,8,0,0.3975,76
3,8,1,0.7475,60
3,8,2,0.815,72
3,8,3,0.8475,77
3,8,4,0.8825,74
3,8,5,0.9125,68
3,8,6,0.925,68
3,8,7,0.9275,68
3,8,8,0.9225,68
3,8,9,0.9175,68
3,8,10,0.9175,78
3,8,11,0.9175,62
3,9,0,0.39,58
3,9,1,0.7175,70
3,9,2,0.79,57
3,9,3,0.8225,63
3,9,4,0.865,92
3,9,5,0.8975,82
3,9,6,0.905,87
3,9,7,0.915,83
3,9,8,0.9175,83
3,9,9,0.915,83
3,9,10,0.915,70
3,9,11,0.925,82
3,10,0,0.4025,79
3,10,1,0.7275,73
3,10,2,0.7875,32
3,10,3,0.825,35
3,10,4,0.8825,85
3,10,5,0.9,87
3,10,6,0.9,56
3,10,7,0.9075,69
3,10,8,0.9075,69
3,10,9,0.91,95
3,10,10,0.91,88
3,10,11,0.9125,69
3,11,0,0.405,79
3,11,1,0.7425,65
3,11,2,0.8225,76
3,11,3,0.8625,71
3,11,4,0.89,80
3,11,5,0.9175,79
3,11,6,0.9275,79
3,11,7,0.9275,79
3,11,8,0.9225,77
3,11,9,0.9225,77
3,11,10,0.92,79
3,11,11,0.9225,91
3,12,0,0.39,58
3,12,1,0.75,52
3,12,2,0.8075,71
3,12,3,0.8525,46
