fold,seed,layer,acc,epoch
4,21,2,0.8125,56
4,21,3,0.84,67
4,21,4,0.8825,76
4,21,5,0.8975,59
4,21,6,0.91,74
4,21,7,0.91,70
4,21,8,0.91,71
4,21,9,0.9125,70
4,21,10,0.915,86
4,21,11,0.915,70
4,22,0,0.4,78
4,22,1,0.705,73
4,22,2,0.83,77
4,22,3,0.87,74
4,22,4,0.8875,72
4,22,5,0.91,61
4,22,6,0.92,57
4,22,7,0.925,69
4,22,8,0.9325,82
4,22,9,0.9275,79
4,22,10,0.925,74
4,22,11,0.9275,74
4,23,0,0.3875,85
4,23,1,0.7075,84
4,23,2,0.8075,84
4,23,3,0.8575,79
4,23,4,0.8875,40
4,23,5,0.915,73
4,23,6,0.925,76
4,23,7,0.9325,69
4,23,8,0.935,73
4,23,9,0.93,73
4,23,10,0.93,73
4,23,11,0.93,76
4,24,0,0.4075,82
4,24,1,0.715,63
4,24,2,0.8375,76
4,24,3,0.8525,73
4,24,4,0.88,73
4,24,5,0.9275,84
4,24,6,0.93,80
4,24,7,0.9325,71
4,24,8,0.9325,71
4,24,9,0.93,58
4,24,10,0.9325,71
4,24,11,0.9275,71
4,25,0,0.395,73
4,25,1,0.735,73
4,25,2,0.8175,35
4,25,3,0.8425,61
4,25,4,0.8825,91
4,25,5,0.91,83
4,25,6,0.9125,81
4,25,7,0.92,77
4,25,8,0.925,63
4,25,9,0.9275,77
4,25,10,0.9325,85
4,25,11,0.925,77
4,26,0,0.4175,76
4,26,1,0.745,59
4,26,2,0.8125,68
4,26,3,0.835,53
4,26,4,0.865,73
4,26,5,0.895,68
4,26,6,0.905,71
4,26,7,0.905,71
4,26,8,0.9075,71
4,26,9,0.915,68
4,26,10,0.9175,80
4,26,11,0.925,80
4,27,0,0.3825,73
4,27,1,0.715,58
4,27,2,0.825,58
4,27,3,0.8575,58
4,27,4,0.8875,53
4,27,5,0.9075,98
4,27,6,0.9175,15
4,27,7,0.9225,78
4,27,8,0.92,78
4,27,9,0.9275,80
4,27,10,0.925,83
4,27,11,0.93,55
4,28,0,0.4,96
4,28,1,0.7675,65
4,28,2,0.835,91
4,28,3,0.855,65
4,28,4,0.89,64
4,28,5,0.9125,83
4,28,6,0.915,65
4,28,7,0.9175,88
4,28,8,0.915,77
4,28,9,0.9225,77
4,28,10,0.9225,81
4,28,11,0.9225,65
4,29,0,0.405,79
4,29,1,0.7425,61
4,29,2,0.83,60
4,29,3,0.87,60
4,29,4,0.8925,60
4,29,5,0.915,42
4,29,6,0.925,73
4,29,7,0.9325,73
4,29,8,0.9325,73
4,29,9,0.9275,84
4,29,10,0.9275,70
4,29,11,0.93,69
4,30,0,0.4,92
4,30,1,0.7275,62
4,30,2,0.8325,64
4,30,3,0.8475,62
4,30,4,0.885,65
4,30,5,0.9075,67
4,30,6,0.9175,79
4,30,7,0.915,64
4,30,8,0.9175,64
4,30,9,0.9175,64
4,30,10,0.925,68
4,30,11,0.925,54
4,31,0,0.3975,77
4,31,1,0.7125,60
4,31,2,0.8175,50
4,31,3,0.845,69
4,31,4,0.8825,72
4,31,5,0.9125,79
4,31,6,0.91,78
4,31,7,0.92,79
4,31,8,0.9225,79
4,31,9,0.92,79
4,31,10,0.915,70
4,31,11,0.92,71
4,32,0,0.38,77
4,32,1,0.7225,59
4,32,2,0.8125,68
4,32,3,0.845,63
4,32,4,0.8775,68
4,32,5,0.9075,83
